,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
1167,Ukraine,UKR,UAH,59.0,27.13,3690.349,95330.292,2020-07-01
1168,Germany,DEU,EUR,3.9,0.875695083,42124.196,38066.406,2017-07-01
1169,Denmark,DNK,DKK,30.0,6.51545,61724.492,389766.64,2019-01-01
1170,South Korea,KOR,KRW,4500.0,1118.6,33447.155,36797333.833,2019-01-01
1171,Greece,GRC,EUR,3.3,0.879623521,19140.612,17095.968,2020-07-01
1172,Egypt,EGY,EGP,27.49,18.77,3862.011,31471.429,2017-01-01
1173,Philippines,PHL,PHP,140.0,52.3925,3279.519,172704.151,2019-01-01
1174,Costa Rica,CRI,CRC,2290.0,581.935,12428.924,7170945.567,2019-07-09
1175,Singapore,SGP,SGD,5.8,1.3613,66840.654,90157.459,2019-07-09
1176,Australia,AUS,AUD,5.9,1.303016483,51829.835,69674.166,2017-07-01
1177,South Korea,KOR,KRW,4400.0,1144.65,29274.232,33987783.506,2017-07-01
1178,Ireland,IRL,EUR,4.3,0.879623521,80608.825,71998.004,2020-07-01
1179,Vietnam,VNM,VND,65000.0,22711.5,2957.899,67191171.646,2018-01-01
1180,Taiwan,TWN,TWD,72.0,29.4565,25903.168,801107.277,2020-07-01
1181,Sri Lanka,LKA,LKR,580.0,153.8,4401.055,670925.154,2018-01-01
1182,Spain,ESP,EUR,3.95,0.872486149,30438.338,25762.67,2019-01-01
1183,Sri Lanka,LKA,LKR,580.0,182.245,4360.149,708441.809,2019-01-01
1184,Hong Kong,HKG,HKD,19.2,7.75595,43488.204,337566.311,2017-01-01
1185,Costa Rica,CRI,CRC,2290.0,606.975,12428.924,7170945.567,2019-01-01
1186,Lithuania,LTU,EUR,2.85,0.872486149,19195.06,16246.485,2019-01-01
1187,Denmark,DNK,DKK,30.0,6.6593,61724.492,389766.64,2019-07-09
1188,Israel,ISR,ILS,17.0,3.4367,44155.447,157393.299,2020-07-01
1189,Latvia,LVA,EUR,2.85,0.879623521,17828.071,15923.635,2020-07-01
1190,Spain,ESP,EUR,3.95,0.816826629,28211.927,24982.169,2018-01-01
1191,United States,USA,USD,4.62,1.0,60292.978,60292.978,2018-07-01
1192,United Arab Emirates,ARE,AED,14.75,3.67315,45591.68,167435.443,2019-07-09
1193,Norway,NOR,NOK,50.0,8.5329,82605.919,671792.639,2019-01-01
1194,Malaysia,MYS,MYR,9.99,4.2655,11228.293,46512.868,2020-07-01
1195,Norway,NOR,NOK,42.0,8.0415,75940.175,628151.813,2018-07-01
1196,Belgium,BEL,EUR,4.3,0.899159286,46783.103,41785.623,2020-01-14
